precinto,representativo,senatorial,municipio
1,1,1,San Juan
2,2,1,San Juan
3,3,1,San Juan
4,4,1,San Juan
5,5,1,San Juan
6,5,1,Guaynabo
7,6,2,Guaynabo
8,6,2,Cataño
9,6,2,Bayamón
10,7,2,Bayamón
11,8,2,Bayamón
12,9,2,Bayamón
13,9,2,Toa Alta
14,10,2,Toa Baja
15,11,3,Dorado
16,11,3,Vega Alta
17,12,3,Vega Alta
18,11,3,Vega Baja
19,12,3,Vega Baja
20,12,3,Morovis
21,12,3,Manatí
22,13,3,Manatí
23,13,3,Ciales
24,13,3,Florida
25,13,3,Barceloneta
26,13,3,Arecibo
27,14,3,Arecibo
28,14,3,Hatillo
29,15,3,Hatillo
30,15,3,Camuy
31,15,3,Quebradillas
32,16,4,Isabela
33,16,4,San Sebastián
34,16,4,Las Marías
35,17,4,Aguadilla
36,17,4,Moca
37,18,4,Moca
38,18,4,Aguada
39,18,4,Rincón
40,18,4,Añasco
41,18,4,Mayagüez
42,19,4,Mayagüez
43,19,4,San Germán
44,20,4,San Germán
45,20,4,Hormigueros
46,20,4,Cabo Rojo
47,21,5,Lajas
48,21,5,Guánica
49,21,5,Sabana Grande
50,21,5,Maricao
51,21,5,Yauco
52,23,5,Yauco
53,22,5,Lares
54,22,5,Utuado
55,22,5,Adjuntas
56,22,5,Jayuya
57,25,5,Jayuya
58,23,5,Guayanilla
59,23,5,Peñuelas
60,23,5,Ponce
61,24,5,Ponce
62,25,5,Ponce
63,25,5,Juana Díaz
64,27,6,Juana Díaz
65,26,6,Villalba
66,26,6,Orocovis
67,27,6,Santa Isabel
68,26,6,Coamo
69,27,6,Aibonito
70,26,6,Barranquitas
71,28,6,Barranquitas
72,28,6,Corozal
73,28,6,Naranjito
74,28,6,Comerío
75,27,6,Coamo
76,29,6,Cidra
77,29,6,Cayey
78,30,6,Salinas
79,30,6,Guayama
80,30,6,Arroyo
81,5,1,Aguas Buenas
82,31,7,Caguas
83,32,7,Caguas
84,31,7,Gurabo
85,27,6,Salinas
86,33,7,San Lorenzo
87,34,7,San Lorenzo
88,33,7,Juncos
89,33,7,Las Piedras
90,35,7,Las Piedras
91,34,7,Patillas
92,34,7,Maunabo
93,34,7,Yabucoa
94,35,7,Humacao
95,35,7,Naguabo
96,36,8,Vieques
97,36,8,Culebra
98,36,8,Ceiba
99,36,8,Fajardo
100,36,8,Luquillo
101,36,8,Río Grande
102,37,8,Río Grande
103,37,8,Loíza
104,37,8,Canóvanas
105,38,8,Canóvanas
106,38,8,Carolina
107,39,8,Carolina
108,40,8,Carolina
109,38,8,Trujillo Alto
110,39,8,Trujillo Alto
